"路線號","起訖點","全程收費"
"70K","粉嶺（華明）↺清河●","$5.4"
"71A","大埔（富亨）↔大埔墟站●","$4.5"
"71B","大埔（富亨）↺大埔中心●","$2.3"
"71K","大埔（太和）↔大埔墟站●","$5.2"
"71S","大埔（富善）↺廣福●","$4.8"
"72","大埔（太和）↔長沙灣●","$10.6"
"72A","大埔工業邨↔大圍站●","$9.2"
"72C*","大美督→大埔墟站●","$6.4"
"72X","富蝶總站↔旺角（柏景灣）●","$11.1"
"73","粉嶺（華明）↔大埔工業邨[註 1]●","$7.5"
"73A","粉嶺（華明）↔愉翠苑●","$11.5"
"73B*","全安路（那打素醫院）↺上水●","$9.2"
"73D*","廣福街市→荃灣（如心廣場）荃灣（如心廣場）→大埔（富善）●","$11.1"
"73F","荃灣（如心廣場）↔香港教育大學●","$16.2"
"73K","上水↔文錦渡（新屋嶺村）●","$4.8"
"73P*","大美督↔荃灣（如心廣場）●","$16.2"
"73X","大埔（富善）↔荃灣（如心廣場）●","$11.1"
"74","富蝶總站↔油塘●","$14.6"
"74A","大埔（太和）↔啟業●","$11.5"
"74B*","大埔中心→觀塘碼頭九龍灣→大埔中心●","$11.1"
"74C*","九龍坑→觀塘碼頭●","$16.2"
"74D*","九龍坑↔觀塘碼頭●","$16.2"
"74E","大美督↔觀塘碼頭●","$16.2"
"74F","觀塘碼頭↔香港教育大學●","$16.2"
"74K","大埔墟站↺三門仔●","$5.4"
"74P*","大埔中心↔觀塘碼頭●","$11.1"
"74R","大埔（太和）↔北潭涌●","$24.3"
"74X","大埔中心↔觀塘碼頭●","$11.1"
"T74","大埔太和→觀塘碼頭●","$14.4"
"75K","大美督↔大埔墟站●","$6.4"
"75P*","大美督→大埔墟站●","$7.6"
"75X","大埔（富善）↔九龍城碼頭●","$11.1"
"76K","朗屏邨↔上水（清河）●","$9.2"
"77K","元朗（鳳翔路）↔上水●","$8.1"
"78*","沙頭角→上水（太平）●","$8.3"
"78A","皇后山↺粉嶺站●","$5.8"
"78B*","皇后山↔上水（彩園）●","$6.4"
"78C*","粉嶺皇后山↔啟德●","$18.9"
"78K","上水[註 2]↔沙頭角●","$8.3"
"78P*","粉嶺皇后山→觀塘●","$18.9"
"78S*","上水↔沙頭角●","$10.4"
"78X","粉嶺皇后山↔啟德●","$18.9"
"79","粉嶺皇后山↔大圍站●","$13.6"
"79K","上水↔打鼓嶺（松園下）●","$6.6"
"79P*","粉嶺皇后山↔高鐵西九龍站●","$16.2"
"79X","粉嶺皇后山↔長沙灣（甘泉街）●","$16.2"
"80","美林↔觀塘碼頭●","$8.1"
"80A*","美林→觀塘碼頭●","$8.1"
"80K","新翠↔愉翠苑●","$5.6"
"80M","穗禾苑↔九龍塘站●","$6.2"
"80P*","顯徑→觀塘碼頭●","$8.1"
"80X","秦石↔觀塘碼頭●","$7.8"
"81","禾輋↔佐敦（西九龍站）●","$7.5"
"81C","耀安↔尖沙咀東（麼地道）●","$9.8"
"81K","新田圍↔穗禾苑●","$5.0"
"81S*","美田→彌敦道（眾坊街）●","$7.5"
"82B*","美田→大圍站●","$4.6"
"82C","廣源↔香港科學園●","$8.0"
"82D","白石角↔大圍站●","$8.0"
"82K","美田↔愉翠苑●","$6.2"
"82X","濱景花園↺黃大仙●","$6.2"
"83A","水泉澳→觀塘碼頭●","$7.8"
"83K","黃泥頭↺沙田市中心●","$5.0"
"83P*","黃泥頭→禾輋●","$5.0"
"83S*","黃泥頭↔沙田市中心●","$5.0"
"83X","水泉澳[註 3]↔觀塘碼頭●","$7.8"
"84M","富安花園↔樂富●","$7.2"
"85","火炭駿洋邨↔九龍城碼頭●","$7.5"
"85A","廣源↔九龍城碼頭●","$7.5"
"85B","秦石→九龍城碼頭●","$7.5"
"85K","恆安↔沙田站●","$5.6"
"85M","錦英苑↺黃大仙●","$8.6"
"85P*","泥涌↔紅磡（紅鸞道）●","$10.5"
"85S*","耀安→紅磡（紅鸞道）●","$9.4"
"85X","馬鞍山市中心↔紅磡（紅鸞道）●","$9.4"
"86","黃泥頭↔美孚●","$9.8"
"86A","沙田圍↔長沙灣（甘泉街）●","$7.5"
"86C","利安↔長沙灣●","$9.8"
"86K","錦英苑↔沙田站●","$6.8"
"86S*","錦英苑↔沙田站●","$6.8"
"87B","新田圍↔維港灣●","$7.5"
"87D","錦英苑↔紅磡站●","$10.4"
"87E*","泥涌→尖沙咀尖沙咀東（麼地道）→泥涌●","$13.8"
"87K","大學站↺錦英苑●","$4.8"
"87P*","利安→頌安●","$4.8"
"87S*","錦英苑↺大學站●大學站↺錦英苑●","$4.8"
"88","中秀茂坪↔大圍站●","$8.3"
"88K","顯徑↔駿景園●","$5.2"
"88X","穗禾苑↔平田●","$11.2"
"89","瀝源↔觀塘（翠屏北邨）●","$7.5"
"89B","沙田圍↔牛頭角●","$7.5"
"89C","恆安↔觀塘（翠屏道）●","$9.4"
"89D","烏溪沙站↔藍田站●","$9.8"
"89P*","馬鞍山市中心→藍田站●","$9.8"
"89S*","水泉澳↔烏溪沙站●","$7.1"
"89X","沙田站↔觀塘（翠屏道）●","$8.3"
"X89D","泥涌↔觀塘碼頭●","$11.5"
"90","將軍澳（彩明）↔碩門邨●","$8.8"
"91","鑽石山站↔清水灣●","$8.1"
"91A*","鑽石山站→清水灣清水灣→彩虹邨（紅萼樓）●","$7.8"
"91B*","坑口站→香港科技大學●","$5.8"
"91M","寶林↔鑽石山站●","$6.8"
"91P*","鑽石山站→香港科技大學（北）香港科技大學（南）→坪石／彩虹站●","$6.8"
"91R","清水灣→將軍澳（彩明）●","$11.9"
"91S","清水灣→觀塘●","$8.1"
"92","西貢↔鑽石山站●","$7.5"
"92R","尖沙咀碼頭↔西貢●","$19.1"
"93A","寶林↔觀塘碼頭●","$5.4"
"93K","寶林↔旺角東站●","$9.8"
"93M","將軍澳（彩明）→藍田站→寶林●","$6.8"
"93P*","寶林↔旺角（柏景灣）●","$9.8"
"94","黃石碼頭↔西貢●","$7.5"
"95","翠林↔九龍站●","$8.1"
"95M","翠林↔觀塘（雅麗道）●","$5.4"
"96","康盛花園↔大埔工業邨●","$9.9"
"96R","鑽石山站↔黃石碼頭●","$21.2"
"97","康盛花園↔烏溪沙站●","$8.8"
"98","將軍澳工業邨↺牛頭角站●","$7.9"
"98A","坑口（北）（將軍澳醫院）↺牛頭角站●","$6.8"
"98B*","坑口（北）（將軍澳醫院）→觀塘●","$6.8"
"98C","坑口（北）（將軍澳醫院）↔美孚●","$11.5"
"98D","坑口（北）（將軍澳醫院）↔尖沙咀東●","$10.9"
"98E*","坑口（北）（將軍澳醫院）↔美孚●","$12.7"
"98P*","康盛花園→尖沙咀東尖沙咀東→坑口（北）（將軍澳醫院）●","$10.9"
"98S*","坑口（北）（將軍澳醫院）↔美孚●","$11.5"
"99","西貢↔恆安●","$7.5"
"99R","大學站↔西貢北（西貢警署）●","$17.3"
"B7","上水（寶運路）↔香園圍口岸●","$10.0"
"B8","大圍站↔香園圍口岸●","$16.1"
"B9","屯門站↔香園圍口岸（蓮塘）●","$20.2"
"B9A*","元朗（西）↔香園圍口岸（蓮塘）●","$16.3"
"K12","大埔墟站↔八號花園●","$4.5"
"K14","大埔超級城→大埔墟站●","$4.5"
"K17","大埔墟站↔富善●","$4.5"
"K18","大埔墟站↔廣福●","$4.5"
"W3","上水↔佐敦（西九龍站）●","$13.8"
"有關通宵巴士路線，請按此","70K","粉嶺（華明）↺清河●"
