"School_Name","Address"
"TSEUNG KWAN O CATHOLIC PRIMARY SCHOOL","6 TONG YIN STREET TSEUNG KWAN O NEW TERRITORIES"
"TSEUNG KWAN O METHODIST PRIMARY SCHOOL","15 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES"
"TWGH WONG YEE JAR JAT MEMORIAL PRI SCH","8 HOK LAM LANE TSEUNG KWAN  O NEW TERRITORIES"
"YAN OI TONG TIN KA PING PRIMARY SCHOOL","3 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES"
"YCH CHAN IU SENG PRIMARY SCHOOL","YUK MING COURT TSEUNG KWAN O NEW TERRITORIES"
"PLK LUK HING TOO PRIMARY SCHOOL","PO LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
"CLEARWATER BAY SCHOOL","D.D. 229 LOT 235, OFF CLEAR WATER BAY ROAD SAI KUNG NEW TERRITORIES"
"GARDEN HOUSE WALDORF SCHOOL","PORTION OF 1/F. SILVERSTRAND SHOPPING CENTRE 7 SILVERSTRAND BEACH ROAD CLEARWATER BAY NEW TERRITORIES"
"INVICTUS SCHOOL","SHOP G29, G/F.-1/F. & SHOPS 123-132, 1/F., MONTEREY PLACE 23 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES"
"SHREWSBURY INT'L SCHOOL HK","10 SHEK KOK ROAD TSEUNG KWAN O NEW TERRITORIES"
"HAVEN OF HOPE SUNNYSIDE SCHOOL","DD 401, LOT 541 301 ANDERSON ROAD TSEUNG KWAN O NEW TERRITORIES"
"HONG CHI MORNINGHILL SCHOOL, TSUI LAM","TSUI LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
"HONG KONG RED CROSS HOSPITAL SCHOOLS","TSEUNG KWAN O HOSPITAL NO.2 PO NING LANE HANG HAU   TSEUNG KWAN O NEW TERRITORIES"
"TSEUNG KWAN O PUI CHI SCHOOL","COVERED PLAYGROUND, EXTENSION ROOMS & ANCILLARY FACILITIES, G/F. NO. 9 TO LOK TSEUNG KWAN O NEW TERRITORIES"
"BAPT CONVENTION OF HK RCHK NORTHWEST KG","G/F 
							KING NAM HOUSE KING LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
"BUSY BEES KINDERGARTEN","TOWER 18, G/F H.K. UNIVERSITY OF SCIENCE & TECHNOLOGY CLEAR WATER BAY KOWLOON"
"C&MA CH UNION TSEUNG KWAN O ALLIANCE KG","G/F 
							YU WING HOUSE YU MING COURT TSEUNG KWAN O NEW TERRITORIES"
"C&MA CHURCH VERBENA KINDERGARTEN","PODIUM 1  BLOCK 7 VERBENA HEIGHTS 8 MAU TAI ROAD TSEUNG KWAN O NEW TERRITORIES"
"CANNAN KINDERGARTEN (TSEUNG KWAN O)","KINDERGARTEN, LEVEL 3 PACKAGE 9, LOHAS PARK 1 LOHAS PARK ROAD TSEUNG KWAN O NEW TERRITORIES"
"CCCHK CHI TO CH KEI POK KG (TKO)","G/F., KWONG YING HOUSE KWONG MING COURT TSEUNG KWAN O NEW TERRITORIES"
"DEBORAH ENGLISH KG (TSEUNG KWAN O)","KINDERGARTEN BLOCK, BEVERLY GARDEN TSEUNG KWAN O NEW TERRITORIES"
"ELCHK TSEUNG KWAN O KINDERGARTEN","WINGS B & C, G/F., TONG FU HOUSE TONG MING COURT TSEUNG KWAN O NEW TERRITORIES"
"ESF ABACUS INTERNATIONAL KG","MANG KUNG UK VILLAGE CLEAR WATER BAY ROAD SAI KUNG NEW TERRITORIES"
"GUIDEPOST MONTESSORI INTL PRE-SCH","SHOP D1 D2 AND YARD & SHOP D (EXCLUDING D1 D2 AND YARD), G/F MARINA COVE SHOPPING CENTRE SAI KUNG NEW TERRITORIES"
"HK CHINESE CHURCH OF CHRIST THE LIGHT KG","G/F 
							HEI MING HOUSE YUK MING COURT TSEUNG KWAN O NEW TERRITORIES"
"HO CHING KG (SPONSORED BY SIK SIK YUEN)","G/F., KWONG NING HOUSE (BLOCK F) KWONG MING COURT TSEUNG KWAN O NEW TERRITORIES"
"INVICTUS KINDERGARTEN","SHOPS G27-G28, G/F. MONTEREY PLACE 23 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES"
"KWUN TONG BAPTIST CHURCH CHOI MING KG","G/F, CHOI YIU HOUSE CHOI MING COURT TSEUNG KWAN O NEW TERRITORIES"
"LEAPFROG KINDERGARTEN","NO. 11 PAK TAM CHUNG VILLAGE SAI KUNG NEW TERRITORIES"
"LOCK TAO CHRISTIAN KINDERGARTEN","KINDERGARTEN 1 PODIUM 1, CHOI MING SHOPPING CENTRE KIN MING ESTATE TSEUNG KWAN O NEW TERRITORIES"
"NORD ANGLIA INT'L PRE-SCHOOL (SAI KUNG)","G/F. & 1/F. 285 HONG KIN ROAD SAI KUNG NEW TERRITORIES"
"PLK FONG WONG WOON TAI KINDERGARTEN","UNIT KG02, G/F. EAST WING, TKO GATEWAY, HAU TAK ESTATE 2 SHEUNG NING ROAD TSEUNG KWAN O NEW TERRITORIES"
"PO LEUNG KUK YIP NG BUN BUN KINDERGARTEN","SHOP NO. KG01, 1/F., YUNG MING SHOPPING CENTRE, YUNG MING COURT TSEUNG KWAN O NEW TERRITORIES"
"SAI KUNG LOK-YUK KINDERGARTEN","19E PO TUNG ROAD SAI KUNG NEW TERRITORIES"
"SAI KUNG MONTESSORI KINDERGARTEN","UNIT SB, G/F. 787 TAN CHEUNG SAI KUNG NEW TERRITORIES"
"SAI KUNG PRE-SCHOOL GROUP","159, CHE KENG TUK VILLAGE SAI KUNG NEW TERRITORIES"
"ST ANDREW'S CATHOLIC KINDERGARTEN","SHEUNG NING ROAD, AREA 37, TSEUNG KWAN O SAI KUNG NEW TERRITORIES"
"STEWARDS POOI YAN KINDERGARTEN","G/F, CHOI WING HOUSE CHOI MING COURT TSEUNG KWAN O NEW TERRITORIES"
"SUN ISLAND ENGLISH KG (SAI KUNG)","G/F 
							TOWER 11, G/F., LAKESIDE GARDEN 1 CHUI TONG ROAD SAI KUNG NEW TERRITORIES"
"TSEUNG KWAN O METHODIST KINDERGARTEN","4/F. PODIUM, WINGS A & B & C SHEUNG LAI HOUSE (BLOCK 6) SHEUNG TAK ESTATE TSEUNG KWAN O NEW TERRITORIES"
"TSING YI TRADE ASSN TSEUNG KWAN O KG","G/F, BLOCK A, WO YAT HOUSE WO MING COURT TSEUNG KWAN O NEW TERRITORIES"
"TSUNG TSIN MISSION GRACEFUL KINDERGARTEN","G/F., PO TAK HOUSE PO LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
"TWGHS NICKON KG","G/F.,  HO MING COURT TSEUNG KWAN O NEW TERRITORIES"
"BEVERLY ANGLO-CHINESE KINDERGARTEN","G/F (PORTION) & LG/F (PORTION) HONG SING GARDEN BLOCK 5 TSEUNG KWAN O, SAI KUNG NEW TERRITORIES"
"BGCAHK CHEERLAND KG (TSEUNG KWAN O)","G/F, TONG WONG HOUSE TONG MING COURT TSEUNG KWAN O NEW TERRITORIES"
"BOX HILL (HK) INTL KG - TKO","SHOPS 2 & 3, G/F. & 1/F. MOUNT VERDANT 48 CHUI LING ROAD TSEUNG KWAN O NEW TERRITORIES"
"BRIGHTWAY KINDERGARTEN","KINDERGARTEN LEVEL 1, LE PRESTIGE, LOHAS PARK 1 LOHAS PARK ROAD TSEUNG KWAN O NEW TERRITORIES"
"CARITAS NURSERY SCHOOL - TSUI LAM","306-313 PIK LAM HOUSE TSUI LAM ESTATE TSEUNG KWAN O NEW TERRITORIES"
"DEBORAH INT'L PRE-SCHOOL (BAUHINIA GARD)","G/F(PORTION), KINDERGARTEN BLOCK BAUHINIA GARDEN 11 TONG CHUN STREET TSEUNG KWAN O NEW TERRITORIES"
"DEBORAH INT'L PRE-SCHOOL (TSEUNG KWAN O)","G/F (PORTION), KINDERGARTEN BLOCK BEVERLY GARDEN 1 TONG MING STREET TSEUNG KWAN O NEW TERRITORIES"
