"School_Name","Address"
"SKH CHU OI PRIMARY SCHOOL","45 TUNG CHI STREET SHEK YAM KWAI CHUNG NEW TERRITORIES"
"SKH CHU YAN PRIMARY SCHOOL","ESTATE SCHOOL NO 2 KWAI SHING ESTATE KWAI SHING NEW TERRITORIES"
"SKH HO CHAK WAN PRIMARY SCHOOL","CHEUNG HANG ESTATE TSING YI NEW TERRITORIES"
"SKH TSING YI EST HO CHAK WAN PRI SCH","3 TSING LUK STREET TSING YI NEW TERRITORIES"
"SKH YAN LAAP PRIMARY SCHOOL","399 KWAI SHING CIRCUIT KWAI CHUNG NEW TERRITORIES"
"SRBCEPSA LU KWONG FAI MEMORIAL SCHOOL","221 KWAI SHING CIRCUIT KWAI CHUNG NEW TERRITORIES"
"T.W.G.HS KO HO NING MEM PRI SCH","LAI YIU ESTATE KWAI CHUNG NEW TERRITORIES"
"TSING YI TRADE ASSOCIATION PRI SCH","12 CHING HONG ROAD CHEUNG HONG ESTATE TSING YI NEW TERRITORIES"
"TSUEN WAN TRADE ASSOCIATION PRI SCH","ESTATE PRIMARY SCHOOL NO.1 TSING YI ESTATE AREA 1 TSING YI  ISLAND NEW TERRITORIES"
"TWGH WONG SEE SUM PRIMARY SCHOOL","CHEUNG ON ESTATE TSING YI NEW TERRITORIES"
"TWGHS CHOW YIN SUM PRIMARY SCHOOL","8 TSING CHIN STREET TSING YI NEW TERRITORIES"
"YCH CHIU TSANG HOK WAN PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL TSING YI ESTATE, PHASE II TSING YI NEW TERRITORIES"
"DELIA (MAN KIU) ENGLISH PRIMARY SCHOOL","ESTATE PRIMARY SCHOOL NO 2 CHEUNG ON ESTATE, PHASE II TSING YI NEW TERRITORIES"
"HKSYC&IA CHAN NAM CHONG MEMORIAL SCHOOL","22 WING FONG ROAD KWAI CHUNG NEW TERRITORIES"
"HONG CHI WINIFRED MARY CHEUNG MORN SCH","220 LAI KING HILL ROAD KWAI CHUNG NEW TERRITORIES"
"HONG KONG RED CROSS HOSPITAL SCHOOLS","KWAI CHUNG HOSPITAL 3-15 KWAI CHUNG HOSPITAL ROAD NEW TERRITORIES"
"LUTHERAN SCHOOL FOR THE DEAF","89 HING SHING ROAD KWAI CHUNG NEW TERRITORIES"
"PLK MR & MRS CHAN PAK KEUNG TSING YI SCH","2 TSING CHIN STREET TSING YI NEW TERRITORIES"
