"School_Name","Address"
"PARKVIEW RHINE GARDEN PRE-SCHOOL","1/F 
							TOWER 1, RHINE GARDEN SHAM TSENG TSUEN WAN NEW TERRITORIES"
"SA NG KWOK WAI MEMORIAL KINDERGARTEN","G/F 
							CLAGUE GARDEN ESTATE TSUEN WAN NEW TERRITORIES"
"ST MONICA'S ANGLO-CHINESE KG (TSUEN WAN)","SHOP 11 KINDERGARTEN, G/F BELVEDERE SQUARE, BELVEDERE GARDEN PHASE II, 620 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"ST. ANTHONY'S KG (BELVEDERE GARDEN)","BLK 1 
							PODIUM FLOOR, BELVEDERE GARDEN PHASE 3 625 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"TSUEN WAN BAPTIST CHURCH KINDERGARTEN","G/F & 1/F 99 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"TSUEN WAN OUR LADY KINDERGARTEN","G/F 
							37-41 TAK WAH STREET TSUEN WAN NEW TERRITORIES"
"611 TREE OF LIFE KINDERGARTEN","PODIUM ROOF OF PODIUM D RIVIERA GARDENS NOS. 2 - 12 YI LOK STREET TSUEN WAN NEW TERRITORIES"
"ALICE LAN&VERA SHEN EDU F GORDON PEI KG","G/F, BLOCK 3, BO SHEK MANSION 328 SHA TSUI ROAD TSUEN WAN NEW TERRITORIES"
"CANNAN KINDERGARTEN (RIVIERA GARDEN)","PODIUM B RIVIERA GARDEN, 2-12 YI HONG STREET TSUEN WAN NEW TERRITORIES"
"CCC FUK YAU KINDERGARTEN","G/F 
							NO 14-17, SHEK TSUI HOUSE SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES"
"CCC FUK YAU NO. II KINDERGARTEN","G/F 
							NO 3-16, 18 & 20 SHEK LIN HOUSE SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES"
"CHRISTIAN ADRIANNE KG (BAYVIEW)","LG2/F, BAYVIEW GARDEN 633 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"CHRISTIAN ADRIANNE KINDERGARTEN","M/F, BLOCK 1, BELVEDERE GARDEN, PHASE 1 TSUEN WAN NEW TERRITORIES"
"CREATIVE KINDERGARTEN (MA WAN)","8 PAK LAI ROAD MA WAN NEW TERRITORIES"
"HKSPC SHAM TSENG NURSERY SCHOOL","ROOM 501, LEVEL 5, COMMERCIAL BLOCK BELLAGIO 33 CASTLE PEAK ROAD SHAM TSENG NEW TERRITORIES"
"HKTA YUEN YUEN KINDERGARTEN","G/F 
							UNITS NO. 33-40 & 41-54, SHEK TO HOUSE SHEK WAI KOK ESTATE TSUEN WAN NEW TERRITORIES"
"HKYWCA TSUEN WAN NURSERY SCHOOL","4/F, PRINCESS ALEXANDRA COMMUNITY CENTRE TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"JOYFUL WORLD KINDERGARTEN","G/F., BLOCK 11 - 12, TSUEN KING GARDEN 76 - 84 TSUEN KING CIRCUIT TSUEN WAN NEW TERRITORIES"
"JOYFUL WORLD KINDERGARTEN (BELVEDERE)","SHOP NOS. 101-118, 1/F & PORTION OF G/F BELVEDERE SQUARE BELVEDERE GARDEN PHASE 2 620 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"LUK YEUNG KINDERGARTEN","SHOP UNIT UP1, LUK YEUNG GALLERIA LUK YEUNG SUN CHUEN TSUEN WAN NEW TERRITORIES"
"MOE KINDERGARTEN","SHOP A-1 WITHIN E5 - E73, BLOCKS 11 - 14 TSUEN WAN CENTRE SHOPPING ARCADE PHASE II, NO. 86 TSUEN KING CIRCUIT TSUEN WAN NEW TERRITORIES"
"PO LEUNG KUK CHI PUI KINDERGARTEN","1/F, BLOCK 2 LEI MUK SHUE ESTATE KWAI CHUNG NEW TERRITORIES"
"PO LEUNG KUK FONG TAM YUEN LEUNG KG","M/F, BLOCK 1 BELVEDERE GARDEN CASTLE PEAK ROAD, 9 1/2 MILES TSUEN WAN NEW TERRITORIES"
"RIVIERA FUNFUL KINDERGARTEN","PORTION B, 4/F, PODIUM E RIVIERA GARDENS TSUEN WAN NEW TERRITORIES"
"SA LEI MUK SHUE NURSERY SCH","G/F 
							YEUNG SHUE HOUSE, WING B & C, G/F, LEI MUK SHUE (1) ESTATE TSUEN WAN NEW TERRITORIES"
"SA TSUEN WAN NURSERY SCH","1/F 
							CLAGUE GARDEN ESTATE 22 HOI SHING ROAD TSUEN WAN NEW TERRITORIES"
"ST MONICA'S KINDERGARTEN (TSUEN WAN)","NO. 12  GROUND FLOOR  BLOCK 1 BELVEDERE SQUARE  PHASE 2 TSUEN WAN NEW TERRITORIES"
"SWINDON KINDERGARTEN","SHOP 108, COMMERCIAL PREMISES BO SHEK MANSION NO. 328 SHA TSUI ROAD TSUEN WAN NEW TERRITORIES"
"VICTORIA (OCEAN PRIDE) INTERNATIONAL KG","G36 - G37 & KINDERGARTEN, G/F. OCEAN PRIDE MALL 100 TAI HO ROAD TSUEN WAN WEST NEW TERRITORIES"
"YAN CHAI HOSPITAL CHOI PAT TAI KG","1/F YAN CHAI HOSPITAL MULTI-SERVICES COMPLEX 18 YAN CHAI STREET TSUEN WAN NEW TERRITORIES"
"611 EDUCATION CENTRE","SHOP A201, 1/F, EAST ASIA GARDENS 36-60 TEXACO ROAD TSUEN WAN NEW TERRITORIES"
"A ONE EDUCATION CENTRE","UNIT 603, 6/F., NAN FUNG CENTRE 264 - 298 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"ABC PATHWAYS SCHOOL (TSUEN WAN)","2/F & 3/F, FULLYTECH CENTRE 18 TAK HOI STREET TSUEN WAN NEW TERRITORIES"
"ADMIRABLE EDUCATION CENTRE","SHOP NO 1, LEVEL 5, BELLAGIO MALL 33 CASTLE PEAK ROAD SHAM TSENG NEW TERRITORIES"
"ALOHA EDUCATION CENTRE","SHOP 3113, 3/F., OP MALL 100 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"APEX STAR EDUCATION CENTRE","SHOP 29, 1/F. & SHOP 6, 2/F. CHEONG NING BUILDING, TSUEN CHEONG CTR 202 - 216 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"APPLAUSE EDU CENTRE (GRAND CITY PLAZA)","UNIT 703 & 705, 7/F., GRAND CITY PLAZA 1 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"ART GALAXY ENGLISH EDU CTR","SHOP 114, PODIUM C, RIVIERA GARDEN TSUEN WAN NEW TERRITORIES"
"AT-LANGUAGE EDUCATION CENTRE","UNIT 507 - 509, 5/F., GRAND CITY PLAZA 1 - 17 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (BELVEDERE)","SHOPS 224 & 234, 2/F., BELVEDERE SQUARE OF BELVEDERE GARDEN PHASE 2 620 CASTLE PEAK ROAD TSUEN WAN TSUEN WAN NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (TW WEST)","SHOP 3069A, 3/F., OP MALL 100 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"BABINGTON EDUCATION CTR (DISCOVERY PARK)","SHOP 3013A, LEVEL 3 DISCOVERY PARK SHOPPING CENTRE 398 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"BEACON COLLEGE (TSUEN WAN)","SHOP 3019, LEVEL 3, D-PARK NO. 398 CASTLE PEAK ROAD TSUEN WAN NEW TERRITORIES"
"BIG APPLE TUTORIAL CENTRE","ROOM 602 - 604, 6/F, 99 PLAZA 99 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"BILINGUAL BY MISS CHOY L CTR (G C PLAZA)","UNIT 901, 9/F., GRAND CITY PLAZA 1 - 17 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"BILINGUAL BY MISS CHOY LANGUAGE CENTRE","UNIT 08, 7/F., GRAND CITY PLAZA 1 - 17 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"BONRA EDUCATION CENTRE","SHOP NO 223, 2/F BELVEDERE GARDEN SHOPPING CENTRE BELVEDERE GARDEN PHASE 2 620 CASTLE PEAK ROAD,TSUEN WAN NEW TERRITORIES"
"BOOK TALK LANGUAGE CENTRE FOR KIDS - TW","SHOPS 3022 - 3023, 3/F., OP MALL 100 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"BRIGHT ENGLISH EDU CENTRE (TW WEST)","SHOP 3107, 3/F. OP MALL 100 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"BRIGHT ENGLISH EDU CTR (SHAM TSENG)","SHOPS G-14 & G-18, G/F. RHINE GARDEN SHOPPING CENTRE 38 CASTLE PEAK ROAD SHAM TSENG NEW TERRITORIES"
"BROAD EDUCATION CENTRE","SHOP NO 7, G/F, BELVEDERE GARDEN PHASE 2 ARCADE TSUEN WAN NEW TERRITORIES"
"CARITAS JOCKEY CLUB INST OF COMM ED - TW","2/F., 146 CHUNG ON STREET, TSUEN WAN NEW TERRITORIES"
"CHEERFUL KIDS PHONICS AND LANG EDU CTR","UNIT A, 5/F. HANG SENG TSUEN WAN BUILDING 289 SHA TSUI ROAD TSUEN WAN NEW TERRITORIES"
"CHRISTIAN ACTION EDU CENTRE","ROOMS 2 & 5 AT UG02, UPPER GROUND FLOOR BLOCK 2, HO FAI COMMERCIAL CENTRE 222-224 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"CHUN NGAI MATH CONCEPT EDUCATION CENTRE","ROOM 301, 3/F., 99 PLAZA 99 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"CHUN NGAI TUTORIAL CENTRE (99 PLAZA)","UNIT 01-02, 5/F, 99 PLAZA 99 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"CHUN NGAI TUTORIAL CENTRE (TW)","1/F AND UNIT 3-5, 5/F, 99 PLAZA 99 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"CHUNG TIN LEARNING CENTRE (99 PLAZA)","ROOM 605, 6/F., 99 PLAZA 99 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"CIRCLE AND SQUARE ACADEMY","UNIT D, 6/F. HANG SENG TSUEN WAN BUILDING 289 SHA TSUI ROAD TSUEN WAN NEW TERRITORIES"
"CLASSROOM G EDUCATION CENTRE","SUITE 102A, BLOCK 2 HO FAI COMMERCIAL CENTRE 218-224 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"CLEVER WISE EDUCATION CENTRE","SHOP B103, B1/F., PANDA PLACE 3 TSUEN WAH STREET TSUEN WAN NEW TERRITORIES"
"COMPLETE LEARNING CENTRE (DAY SCHOOL)","UNIT E 3/F HANG SENG TSUEN WAN BUILDING 289 SHA TSUI ROAD TSUEN WAN NEW TERRITORIES"
"COMPLETE LEARNING CENTRE (EVENING SCH","UNIT E 3/F HANG SENG TSUEN WAN BUILDING 289 SHA TSUI ROAD TSUEN WAN NEW TERRITORIES"
"CONRAD EDUCATION CENTRE","UG01, UG/F., BLOCK 2 HO FAI COMMERCIAL CENTRE 222 - 224 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"CREATIVE AND EFFECTIVE POWER EDU CENTRE","SHOP NO. UG41, UPPER G/F., PHASE 1 WATERSIDE PLAZA 38 WING SHUN STREET TSUEN WAN NEW TERRITORIES"
"CREATIVE KIDS EDUCATION CENTRE","SHOP NO UG42, UG/F., WATERSIDE PLAZA 38 WING SHUN STREET TSUEN WAN NEW TERRITORIES"
"DEFINING EDUCATION CENTRE (TSUEN WAN)","SHOPS 2125 - 2128, 2/F., OP MALL 100 TAI HO ROAD TSUEN WAN NEW TERRITORIES"
"DELIBERATE YOUTH EDUCATION CENTRE","5C, HANG SENG TSUEN WAN BUILDING 289 SHA TSUI ROAD TSUEN WAN NEW TERRITORIES"
"DILIGENT LEARNERS EDUCATION CENTRE","UNIT 702, 7/F., GRAND CITY PLAZA 1 - 17 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"DIRECTING EDU CTR (TSUEN FUNG C85)","SHOP 85, 2/F. TSUEN FUNG CENTRE SHOPPING ARCADE 138-168 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
"DIRECTING EDU CTR (TSUEN FUNG)","SHOP 45, 2/F. TSUEN FUNG CENTRE SHOPPING ARCADE 138-168 SAI LAU KOK ROAD TSUEN WAN NEW TERRITORIES"
