"School_Name","Address"
"BUDDHIST WING YAN SCHOOL","6 FUNG YAU STREET SOUTH YUEN LONG NEW TERRITORIES"
"C & M ALLIANCE CHUI CHAK LAM MEM SCHOOL","KIN TAK STREET YUEN LONG NEW TERRITORIES"
"CCC CHUN KWONG PRIMARY SCHOOL","CHUNG SING PATH YUEN LONG NEW TERRITORIES"
"CHINESE YMCA PRIMARY SCHOOL","AREA 102 TIN SHUI WAI PHASE 4 (SCHOOL 2) YUEN LONG NEW TERRITORIES"
"CHIU YANG POR YEN PRIMARY SCHOOL","55 TIN WAH ROAD TIN SHUI WAI NEW TERRITORIES"
"CHIU YANG PRIMARY SCHOOL OF HONG KONG","TIN YIU ESTATE, PHASE III TIN SHUI WAI , YUEN LONG NEW TERRITORIES"
"CHRISTIAN ALLIANCE S Y YEH MEM PRI SCH","TIN CHAK ESTATE TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"CHRISTIAN PUI YAN PRIMARY SCHOOL","2 TIN YIP ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"CHUNG SING SCHOOL","29 KAU HUI ROAD YUEN LONG NEW TERRITORIES"
"CUMBERLAND PRESBY CHURCH YAO DAO PRI SCH","TIN FU COURT TIN SHUI WAI YUEN LONG NEW TERRITORIES"
"HK & MC LU CH WONG CHAN SOOK YING MEM SC","FAIRVIEW PARK D D 104   LOT 4665   ORCHID ROAD EAST TAI SHANG WAI  YUEN LONG NEW TERRITORIES"
"HKFYG LEE SHAU KEE PRIMARY SCHOOL","11 TIN WING ROAD TIN SHUI WAI YUEN LONG NEW TERRITORIES"
"HO MING PRI SCH SPSD BY SIK SIK YUEN","2 TIN PAK ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"KAM TIN MUNG YEUNG PUBLIC SCHOOL","KAM TIN YUEN LONG NEW TERRITORIES"
"KWONG MING SCHOOL","SHUI PIN WAI ESTATE YUEN LONG NEW TERRITORIES"
"KWONG MING YING LOI SCHOOL","12 YUEN CHING ROAD YUEN LONG NEW TERRITORIES"
"LIONS CLUBS INTL HO TAK SUM PRI SCH","AREA 3 (PS2) PHASE 4 TIN SHUI WAI YUEN LONG NEW TERRITORIES"
"LOK SIN TONG LEUNG KAU KUI PRI SCH","TIN SHUI ESTATE TIN SHUI WAI, YUEN  LONG NEW TERRITORIES"
"LST LEUNG KAU KUI PRIMARY SCHOOL (BR)","TIN YAN ESTATE TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"PAT HEUNG CENTRAL PRIMARY SCHOOL","199 LIN FA TEI KAM TIN PAT HEUNG, YUEN LONG NEW TERRITORIES"
"QES OLD STUDENTS' ASSN BRANCH PRI SCH","AREA 3, PHASE 4 TIN SHUI WAI YUEN LONG NEW TERRITORIES"
"QES OLD STUDENTS' ASSOCIATION PRI SCH","ESTATE PRIMARY SCHOOL TIN YIU ESTATE, PHASE I TIN SHUI WAI NEW TERRITORIES"
"SKH LING OI PRIMARY SCHOOL","15  MA MIU ROAD YUEN LONG NEW TERRITORIES"
"SKH ST JOSEPH'S PRIMARY SCHOOL","12 PO TEI ROAD KAM TIN, YUEN LONG NEW TERRITORIES"
"SKH TIN SHUI WAI LING OI PRIMARY SCHOOL","82 TIN SHUI ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"SPH RURAL COMMITTEE KUNG YIK SHE PRI SCH","AREA 27 TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"STFA WU MIEN TUEN PRIMARY SCHOOL","TIN HENG ESTATE, TIN SHUI WAI NEW TERRITORIES"
"TIN SHUI WAI CATHOLIC PRIMARY SCHOOL","28 TIN PAK ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"TIN SHUI WAI METHODIST PRIMARY SCHOOL","PHASE 1 AREA 31 TIN SHUI WAI NEW TERRITORIES"
"TUN YU SCHOOL","SAN TIN YUEN LONG NEW TERRITORIES"
"TUNG TAK SCHOOL","SHING MUN SAN TSUEN,  KAM TIN YUEN LONG NEW TERRITORIES"
"TWGH LEO TUNG-HAI LEE PRIMARY SCHOOL","19 TIN TAN STREET, TIN SHUI WAI YUEN LONG NEW TERRITORIES"
"TWGH YIU DAK CHI MEM PRI SCH (YUEN LONG)","TIN SHUI ESTATE TIN SHUI WAI NEW TERRITORIES"
"XIANGGANG PTH YANXISHE PRI SCH OF SC & C","AREA 102 TIN SHUI WAI PHASE 2 (PRIMARY SCHOOL 1) YUEN LONG NEW TERRITORIES"
"YL LONG PING ESTATE TUNG KOON PRI SCH","LONG PING ESTATE YUEN LONG NEW TERRITORIES"
"YL PUB MID SCH A A TANG YING YIP PRI SCH","86 TIN SHUI ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"YL PUB MID SCH ALUMNI ASSN PRI SCH","2 TOWN PARK ROAD NORTH YUEN LONG NEW TERRITORIES"
"YUEN LONG LONG PING ESTATE WAI CHOW SCH","PHASE II LONG PING ESTATE YUEN LONG NEW TERRITORIES"
"YUEN LONG MERCHANTS ASSN PRIMARY SCHOOL","244 CASTLE PEAK ROAD YUEN LONG NEW TERRITORIES"
"YUEN LONG PO KOK PRIMARY SCHOOL","55 TAN KWAI TSUEN ROAD HUNG SHUI KIU, YUEN LONG NEW TERRITORIES"
"W F JOSEPH LEE PRIMARY SCHOOL","9 TIN FAI ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"ANCHORS ACADEMY","1 KO PO PATH, KAM TIN NORTH YUEN LONG NEW TERRITORIES"
"ANFIELD ST. BOSCO KOON YING SCHOOL","D.D. 105 MAI PO SAN TSUEN, MAI PO YUEN LONG NEW TERRITORIES"
"ELCHK LUTHERAN SCHOOL","LOT3797 DD120 ON SHUN STREET YUEN LONG NEW TERRITORIES"
"GIGAMIND ENGLISH PRIMARY SCHOOL","BLOCK A MAYWOOD COURT, KINGSWOOD VILLAS 9 TIN LUNG ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"ZENITH ENGLISH PRIMARY SCHOOL","1/F, SHERWOOD COURT KINGSWOOD VILLAS LOT NO TSWTL 2 RP TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"BUDDHIST TCFS YEUNG YAT LAM MEMORIAL SCH","6 TIN PAK ROAD TIN SHUI WAI, YUEN LONG NEW TERRITORIES"
"CARITAS LOK KAN SCHOOL","17 TIN TAN STREET, TIN SHUI WAI NEW TERRITORIES"
"HONG CHI  MORNINGJOY SCHOOL, YUEN LONG","11 YUEN LONG TAI YUK ROAD YUEN LONG NEW TERRITORIES"
"HONG CHI MORNINGLIGHT SCHOOL, YUEN LONG","133 LYCHEE ROAD NORTH FAIRVIEW PARK, YUEN LONG NEW TERRITORIES"
"PLK LAW'S FOUNDATION SCHOOL","26 TOWN PARK ROAD SOUTH YUEN LONG NEW TERRITORIES"
"ABIDING KINDERGARTEN","G/F., NAM PIN WAI, LOT NO. 239, DD115 YUEN LONG NEW TERRITORIES"
"ACADEMY KINDERGARTEN (TIN SHUI WAI)","G/F, ANCILLARY FACILITIES BLOCK TIN CHUNG COURT TIN SHUI WAI NEW TERRITORIES"
"BAPTIST CHURCH SHINING GRACE KG","KINDERGARTEN NO 2, 3/F ANCILLARY FACILITIES BLOCK TIN WAH ESTATE, TIN SHUI WAI YUEN LONG NEW TERRITORIES"
