"School_Name","Address"
"HONG CHI PINEHILL NO.2 SCHOOL","DD11   LOT1691 NAM HANG  TAI PO NEW TERRITORIES"
"HONG CHI PINEHILL NO.3 SCHOOL","NAM HANG TAI PO NEW TERRITORIES"
"HONG CHI PINEHILL SCHOOL","NAM HANG, TPTL 34 TAI PO NEW TERRITORIES"
"HONG KONG RED CROSS HOSPITAL SCHOOLS","ALICE HO MIU LING NETHERSOLE HOSPITAL 11 CHUEN ON ROAD TAI PO NEW TERRITORIES"
"SAHK JOCKEY CLUB ELAINE FIELD SCHOOL","1 FU CHUNG LANE TAI PO NEW TERRITORIES"
"ANCHORS KINDERGARTEN","SHOP NO. G07B, G/F-2/F.,FULLER GARDENS 8  CHUI LOK STREET TAI PO NEW TERRITORIES"
"C&MA CHURCH TAI WO KINDERGARTEN","G/F 
							SUN WO HOUSE TAI WO ESTATE TAI PO NEW TERRITORIES"
"FU HENG BAPTIST LUI KWOK PAT FONG KG","G/F BLK 1 
							HENG TAI HOUSE FU HENG ESTATE TAI PO NEW TERRITORIES"
"INTL COLL HK HONG LOK YUEN (KG SECT)","5 HONG LOK YUEN TWENTIETH STREET TAI PO NEW TERRITORIES"
"MINK ANGLO-CHINESE KINDERGARTEN","TPTL 26, AREA 17 SUN HING GARDEN, LEVEL 1 TAI PO NEW TERRITORIES"
"PLK TANG BIK WAN MEMORIAL KINDERGARTEN","G/F 
							UNITS NO 118-131, G/F, KWONG YEE HOUSE KWONG FUK ESTATE, PHASE 1B TAI PO NEW TERRITORIES"
"SKH THE CHURCH OF OUR SAVIOUR KG","NO 210-219 KWONG YAN HOUSE KWONG FUK EST TAI PO NEW TERRITORIES"
"TAI PO BAPTIST KG WAN TAU TONG ESTATE BR","G/F 
							WAN HANG HOUSE WAN TAU TONG ESTATE TAI PO NEW TERRITORIES"
"TAI PO BAPTIST KINDERGARTEN","32-38 HEUNG SZE WUI SQUARE TAI PO NEW TERRITORIES"
"TAI PO CATHOLIC KINDERGARTEN","G/F, KA WO HOUSE, PO NGA COURT TAI PO NEW TERRITORIES"
"TAI PO MERCHANTS ASSOCIATION KG","G/F BLK 2 
							FU HENG ESTATE TAI PO NEW TERRITORIES"
"TAI PO METHODIST KINDERGARTEN","G/F 
							HENG TSUI HOUSE FU HENG ESTATE TAI PO NEW TERRITORIES"
"TAI PO RHENISH CHURCH KINDERGARTEN","1-2/F 
							KAM FU BUILDING 2-8 ON FU ROAD TAI PO NEW TERRITORIES"
"TWGH HUNG WONG KAR GEE KINDERGARTEN","2/F 
							UNITS NO.309-316 TAI TAK HOUSE TAI YUEN ESTATE TAI PO NEW TERRITORIES"
"WWCWDHK DAVID WOO MEM ANGLO-CHINESE KG","GROUND FLOOR YAT YAN HOUSE YAT NGA COURT TAI PO NEW TERRITORIES"
"ANCHORS INTERNATIONAL NURSERY","PORTION OF G/F & 2/F, SHOP G07B FULLER GARDENS, 8 CHUI LOK STREET TAI PO NEW TERRITORIES"
"C & MA PLOVER COVE NURSERY SCH","RM 106 
							LEVEL 1 PLOVER COVE GARDEN 3 PLOVER COVE ROAD TAI PO NEW TERRITORIES"
"EDUHK ECLC (KG SECTION)","ROOM G02-G05, G/F. SENIOR STAFF QUARTERS THE EDUCATION UNIVERSITY OF HONG KONG 10 LO PING ROAD, TAI PO NEW TERRITORIES"
"EFCC - PO NGA NURSERY SCHOOL","NO.117-124, G/F HING WO HOUSE, PO NGA COURT TAI PO NEW TERRITORIES"
"HKSPC LAM WOO NURSERY SCHOOL","3/F FU HENG NEIGHBOURHOOD COMMUNTIY CENTRE FU HENG ESTATE TAI PO NEW TERRITORIES"
"HKTA YUEN YUEN KG (FU SHIN ESTATE)","G/F SHIN MEI HOUSE FU SHIN ESTATE TAI PO NEW TERRITORIES"
"MINK INTERNATIONAL PRE-SCHOOL","LEVEL 1 SUN HING GARDEN TAI PO NEW TERRITORIES"
"MULBERRY HOUSE INTERNATIONAL KG","KINDERGARTEN PREMISES, PORTION OF G/F. AND LG/F., COMMERCIAL ACCOMMODATION MAYFAIR BY THE SEA I, 23 FO CHUN ROAD TAI PO NEW TERRITORIES"
"PENTECOSTAL CHURCH OF HK TAI WO NS","3/F, NEIGHBOURHOOD COMMUNITY CENTRE TAI WO ESTATE TAI PO NEW TERRITORIES"
"PO LEUNG KUK LAU CHUN KINDERGARTEN","G/F, KWONG LAI HOUSE KWONG FUK ESTATE TAI PO NEW TERRITORIES"
"SA TAI YUEN NURSERY SCH","G/F 
							TAI LING HOUSE TAI YUEN ESTATE TAI PO NEW TERRITORIES"
"ST. PAUL'S CATHOLIC DAY NURSERY","28 WAN TAU STREET TAI PO NEW TERRITORIES"
"TSUNG TSIN MISSION OF HK ON YAN NUR SCH","FU SHIN ESTATE TAI PO NEW TERRITORIES"
"TWGHS FONG LAI MING NURSERY SCHOOL","5/F AND ROOF PLAYGROUND TAI PO COMMUNITY CENTRE HEUNG SZE WUI STREET TAI PO MARKET NEW TERRITORIES"
"YAN OI TONG MRS AUGUSTA CHEUNG KG","3/F 
							NEIGHBOURHOOD COMMUNITY CENTRE WAN TAU TONG ESTATE TAI PO NEW TERRITORIES"
"ZEBEDEE INTERNATIONAL PRESCHOOL","WING A & WING B, G/F., YAT WING HOUSE, YAT NGA COURT TAI PO NEW TERRITORIES"
"ZENITH KINDERGARTEN","ENTRANCE LOBBY ON G/F SHOP 10 & 11 ON 1/F  LA FONTAINE 6 CHUI LOK STREET TAI PO NEW TERRITORIES"
"A FOR ALAYO EDUCATION CENTRE","SHOP A49, LEVEL 2 TAI PO PLAZA 1 ON TAI ROAD TAI PO NEW TERRITORIES"
"A-KIDS GARDEN EDUCATION CENTRE","SHOP 25, G/F, WING FAI GARDEN 29-35 TING KOK ROAD TAI PO NEW TERRITORIES"
"BABINGTON EDUCATION CENTRE (TAI PO)","SHOP A37A, LEVEL 2 TAI PO PLAZA, 1 ON TAI ROAD TAI PO NEW TERRITORIES"
"BINOCS EDUCATION CENTRE","SHOP NO 6, G/F, LAGOON COURT 18 PLOVER COVE ROAD TAI PO NEW TERRITORIES"
"BRIGHT ENGLISH EDUCATION CENTRE (TAI PO)","SHOP 56, LEVEL 2 TAI PO PLAZA 1 ON TAI ROAD TAI PO NEW TERRITORIES"
"CHARACTER TUTORIAL CENTRE","FLAT G, 1/F., MEE TAK BUILDING 27-43 KWONG FUK ROAD TAI PO NEW TERRITORIES"
"CHARACTER TUTORIAL CENTRE (EVENING)","FLAT G, 1/F., MEE TAK BUILDING 27-43 KWONG FUK ROAD TAI PO NEW TERRITORIES"
"CHATTER-BOX TAI PO LEARNING CENTRE","SHOP 229, LEVEL 2, PLOVER COVE GARDEN NO 3 PLOVER COVE ROAD TAI PO NEW TERRITORIES"
"CHEK LAM EDUCATION CENTRE","SHOP NO 38, G/F SUN HING GARDEN, NO 2 ON PO LANE TAI PO NEW TERRITORIES"
"CHI TAK EDUCATIONAL CENTER (CHUI WO LANE","SHOP B1   G/F   REVE PLAZA 5 CHUI WO LANE TAI PO NEW TERRITORIES"
"CHRISTIAN KAM SHEK TUT CENTRE (EVE SCH)","NO 93, G/F, KAM SHEK NEW VILLAGE TAI PO NEW TERRITORIES"
"CHRISTIAN KAM SHEK TUTORIAL CENTRE","NO 93, G/F, KAM SHEK NEW VILLAGE TAI PO NEW TERRITORIES"
"CHRIST'S VINEYARD EDUCATION CENTRE","PORTION OF 1/F. WING CHEUNG BUILDING 6-14 FU SHIN STREET TAI PO NEW TERRITORIES"
"COASE LEARNING CENTRE (FU SHIN)","SHOP F117, 1/F. FU SHIN SHOPPING CENTRE, FU SHIN ESTATE 12 ON PO ROAD TAI PO NEW TERRITORIES"
"CREAM EDUCATION CENTRE","SHOP A3, LEVEL 2 TAI PO PLAZA 1 ON TAI ROAD TAI PO NEW TERRITORIES"
"CRISYLAND ALPHA LEARNING CENTRE","SHOP 14, G/F, TAI WING HOUSE TAI YUEN ESTATE 10 TING KOK ROAD TAI PO NEW TERRITORIES"
"CRISYLAND ENG LRN CTR (TAI WO)","SHOP 11, G/F. TAI WO CENTRE 15 TAI PO TAI WO ROAD TAI PO NEW TERRITORIES"
"CRISYLAND ENGLISH LEARNING CENTRE","FLAT A & B   G/F WAH ON BUILDING 3 MEI SUN LANE TAI PO NEW TERRITORIES"
"EMPIRE EDUCATION CENTRE","SHOP 15, G/F. WING FAI GARDEN 29-35 TING KOK ROAD TAI PO NEW TERRITORIES"
"EVERGREEN WAY EDU CENTRE (WAN TAU TONG)","SHOP 22, G/F. WAN TAU TONG SHOPPING CENTRE WAN TAU TONG ESTATE, 10 HIU WAN ROAD TAI PO NEW TERRITORIES"
"EYE LEVEL LITTLE THINKER EDU CTR","SHOP LG21, LG/F. COMMERCIAL ACCOMMODATION MAYFAIR BY THE SEA II 21 FO CHUN ROAD, TAI PO NEW TERRITORIES"
"FAITH HOPE LOVE EDUCATION CENTRE","SHOP A39, LEVEL 2 TAI PO PLAZA 1 ON TAI ROAD TAI PO NEW TERRITORIES"
"FULL YIN EDUCATION CENTRE","SHOP NO. 39, G/F. SUN HING GARDEN 2 ON PO LANE TAI PO NEW TERRITORIES"
"FUN TO LEARN ENGLISH LRN CTE (TAI WO)","SHOP 308, 3/F. ON WO HOUSE TAI WO ESTATE TAI PO NEW TERRITORIES"
"FUN TO LEARN ENGLISH LRN CTR (TAI PO)","SHOP A063, LEVEL 1 UPTOWN PLAZA 9 NAM WAN ROAD TAI PO NEW TERRITORIES"
"GOOD CHILDREN EDUCATION CENTER","SHOP NO 7B, G/F. LA FONTAINE, 6 CHUI LOK STREET TAI PO NEW TERRITORIES"
"GOODVIEW EDUCATION CENTRE","SHOP NO 4, G/F, WING FAI GARDEN NOS 29-35 TING KOK ROAD TAI PO NEW TERRITORIES"
"GREEN PARK EDUCATION CENTER","G/F., MEI HING BUILDING NO 1 YAN HING STREET TAI PO NEW TERRITORIES"
"HONG KONG VOCATIONAL SKILLS TRAINING SCH","ROOM D, 4/F, TAI PO COMMERCIAL CENTRE 152-172 KWONG FUK ROAD TAI PO NEW TERRITORIES"
"INSPIRED LEARNING EDU CTR (TP)","SHOP 15, LEVEL 2 JADE PLAZA 3 ON CHEE ROAD TAI PO NEW TERRITORIES"
"JOLLY KINGDOM ENGLISH LEARNING CTR (TP)","SHOP 23, G/F. WAN TAU TONG SHOPPING CENTRE WAN TAU TONG ESTATE, 10 HIU WAN ROAD TAI PO NEW TERRITORIES"
"KNOWLEDGE BASE EDUCATION CENTRE (TAI PO)","SHOP A37B, LEVEL 2 TAI PO PLAZA, 1 ON TAI ROAD TAI PO NEW TERRITORIES"
"KUMON JADE PLAZA EDUCATION CENTRE","SHOPS 31A & 31B, LEVEL 2 JADE PLAZA 3 ON CHEE ROAD TAI PO NEW TERRITORIES"
"KUMON PLOVER COVE EDU CENTRE (DAY SCH)","SHOP 228D L2 PLOVER COVE GARDEN TAI PO NEW TERRITORIES"
"KUMON PLOVER COVE EDU CENTRE (EVE SCH)","SHOP 228D L2 PLOVER COVE GARDEN TAI PO NEW TERRITORIES"
