"School_Name","Address"
"HHCKLA BUDDHIST PO KWONG SCHOOL","2 YAN SHING LANE FANLING NEW TERRITORIES"
"HONG KONG RED CROSS HOSPITAL SCHOOLS","NORTH DISTRICT HOSPITAL 9 PO KIN ROAD SHEUNG SHUI NEW TERRITORIES"
"SALVATION ARMY SHEK WU SCHOOL","AREA 8 JOCKEY CLUB ROAD SHEK WU HUI, SHEUNG SHUI NEW TERRITORIES"
"BILOK ANGLO-CHINESE KINDERGARTEN","G-2/F 
							26-28 LUNG SUM AVENUE SHEK WU HUI SHEUNG SHUI NEW TERRITORIES"
"BUDDHIST SUM TUNG FOOK KINDERGARTEN","G/F 
							CHOI WU HOUSE  CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES"
"CARITAS ST FRANCIS KINDERGARTEN","UNIT NO. KG01, 2/F. ANCILLARY FACILITIES BLOCK PO SHEK WU ESTATE SHEUNG SHUI NEW TERRITORIES"
"CHI CHR WK'S FELLOWSHIP LTD CHOI PO KG","G/F., CAR PARK BUILDING CHOI PO COURT SHEUNG SHUI NEW TERRITORIES"
"CHI CHR WK'S FELLOWSP LTD KING SHING KG","G/F., FOON KING HOUSE KING SHING COURT FANLING NEW TERRITORIES"
"CHINESE Y.M.C.A. SHEUNG SHUI KG","G/F., CHING YUN HOUSE (BLOCK B) CHING HO ESTATE SHEUNG SHUI NEW TERRITORIES"
"CHR THE FAITH HOPE LOVE CH WAH MING KG","G/F 
							TIM MING HOUSE WAH MING ESTATE FANLING NEW TERRITORIES"
"EVANGELICAL LU CH OF HK CHEUNG WAH KG","G/F 
							UNITS 102-107, G/F. CHEUNG YUE HOUSE, CHEUNG WAH ESTATE FANLING NEW TERRITORIES"
"FANLING ASSEMBLIES OF GOD KINDERGARTEN","301 JOCKEY CLUB ROAD FANLING NEW TERRITORIES"
"FANLING BAPTIST CHURCH LUI MING CHOI KG","(EXCEPT ROOM 101 AND COVERED PLAYGROUND) 3 SHA TAU KOK ROAD FANLING NEW TERRITORIES"
"FUNG KAI KINDERGARTEN","NO. 21 JOCKEY CLUB ROAD SHEUNG SHUI NEW TERRITORIES"
"HHCKLA BUDDHIST WAI KWONG KINDERGARTEN","G/F 
							LAI MING HOUSE WAH MING ESTATE FANLING NEW TERRITORIES"
"HKEC ELITE KINDERGARTEN","SHOP NO KG01, YAN SHING COURT FANLING NEW TERRITORIES"
"HKTA FUNG YING TUNG SIN QUEEN'S HILL KG","GROUND FLOOR, WONG CHING HOUSE QUEEN'S HILL ESTATE NORTH DISTRICT NEW TERRITORIES"
"KAM TSIN VILLAGE HO TUNG KINDERGARTEN","D.D. 92 KAM TSIN SHEUNG SHUI NEW TERRITORIES"
"KOWLOON CITY BAPTIST CHURCH KA FUK KG","G/F 
							KA YIU HOUSE KA SHING COURT FANLING NEW TERRITORIES"
"PLK MRS VICWOOD KT CHONG KINDERGARTEN","G/F 
							YIU MING HOUSE WAH MING ESTATE FANLING NEW TERRITORIES"
"PLK YIP NG BUN BUN QUEEN'S HILL KG","PODIUM FLOOR WONG SHUN HOUSE QUEENS HILL ESTATE FANLING NEW TERRITORIES"
"SHEUNG SHUI CHURCH KINDERGARTEN","23 JOCKEY CLUB ROAD SHEUNG SHUI NEW TERRITORIES"
"SHEUNG SHUI RHENISH CHURCH KINDERGARTEN","UNIT 101-107 & 109-111, G/F CHOI WAH HOUSE, CHOI YUEN ESTATE SHEUNG SHUI NEW TERRITORIES"
"SHEUNG SHUI WAI CHOW KG (BRANCH)","G/F 
							TIN CHEUNG HOUSE TIN PING ESTATE SHEUNG SHUI NEW TERRITORIES"
"TAI PING KINDERGARTEN","UNIT NO.111-115, G/F. PING YEE HOUSE, TAI PING ESTATE SHEUNG SHUI NEW TERRITORIES"
"TRUTH BAPTIST CHURCH HO YUEN WAI KING KG","SHOP NO 109, SHOPPING CENTRE YUNG SHING COURT FANLING NEW TERRITORIES"
"TWGH TSUI TSIN TONG KINDERGARTEN","G/F BLK 6 
							TIN HEE HOUSE TIN PING ESTATE SHEUNG SHUI NEW TERRITORIES"
"TWGHS GINNY MAN KINDERGARTEN","GROUND FLOOR, WONG WUI HOUSE QUEENS HILL ESTATE FANLING NEW TERRITORIES"
"ANCHORS KINDERGARTEN (FANLING)","1A & 1B 1/F & 2/F WING FAI CENTRE 2-10 LUEN CHIT STREET FANLING NEW TERRITORIES"
"CARITAS NURSERY SCHOOL - TA KWU LING","G/F 
							CARITAS TA KWU LING CENTRE PING CHE ROAD TA KWU LING, FANLING NEW TERRITORIES"
"CARITAS ZONTA  CLUB OF HK NURSERY SCHOOL","G/F 
							FU MING HOUSE WAH MING ESTATE FANLING NEW TERRITORIES"
