"House_Price"
453.6
838
513
693
328
720
592
2068
482
495
3230
1980
1320
1438
692
258
589
620
1088
710
270
260
1938
485
570
1800
565
255
213
438
653
455
838
978
495
705
450
515
623
263
420
155
945
500
563.8
2163
2163
300
393
608
483.8
1332.8
720
1750
599.8
540
419.8
442
451
630
504.8
1130
428
918
490
640
373
472.8
330
628
360
378
883
990
1208
300
1950
1022
560
303
780
765
910
1098
788
735
495
778
505
527
497
318
620
550
540
298
1370
700
715
587
308
800
120.7
351.5
336.18
230.16
394.16
161.25
568
568
280
478
288
485
70
623
850
550
670
408
396
5000
610
1608.53
718
848
378
121.13
109.96
121.83
116.32
116.3
303
234.09
226.59
229.09
234.09
241.59
244.09
246.59
1296.2
1368.8
460
418
1730
598.77
490
570
430.92
451.86
428.09
424.42
437.5
470.5
368.59
100
783
418
468
454
788
275
480
416.8
718
320
300
450
525
328
610
600
89
56
492.8
690
300
1228
470
370
345
3472.8
508
315
2950
3250
194.22
253
455
546.3
549
518
300
410
720
935
127.06
630
898
370
420
848.8
566.9
398
560
300
325.02
340
1360
1926.6
159
635
355
630
1415.1
868
670
290
250
432
99
580
428
521
325
755
478
374.8
760.85
177.8
360
510
300
795
370
1250
758
442
825
657.48
768
400
850
713.62
268
675
300
660
568
613
693
432
454
3402.975
1590.2
1628.5
891
1268
615
340
375
286
350
445
480
520
115
273.8
448
335
548
550
388
928
460
7835.3
941.3
673.8
1149.6
690.6
1668
642.5
648.6
460
810
433
450
288
728
948
316
1512.9
195
236
606.1
647.3
638.4
520
330
210
413
460
1320
220
548
406
639.8
520
373
468
538
585
1066
780
888
520
488
490
610
625
1228
845
268
455
595
1100
2000
768
642
450
1150
330
308
999
210
2800
1060
465
583.8
449.8
400
450
285
295
565
465
723
522
818
980
386.8
673
1103
448
383
300
555
310
405
572
700
590
635
280
398
239.48
339.65
246.74
311.23
343.65
266.58
188.51
182.67
309.04
264.7
278.37
291.72
295.43
192.59
259.78
187.88
251.88
402
400
360
450
450
180
300
450
470
229.97
149.79
555.3
330
380
292.72
420
550
283
669
658
1118
499
367
123.86
117.83
121.31
588.8
341.28
231.59
236.59
239.09
870
528
965.9
2150
511.04
200
402
128
225
825
110
288
280
2405
200
229
670
298
866
393
462
3450
475
880
290
268.34
1891.2
465
1225
708
428
550
3187.5
810
236.8
97.5
620
720
465
378
410
363
446
725
451
406
505
325
298
536.8
396.8
1966.2
450
1600
2863
2410.1
290
120
420
240
350
575
466
550
1180
440.8
605
518
300
907.56
382.8
328
6500
80
410
235
408
400
368
1900
1784.3
380
400
325
110
700
525
450
470
306
348
1290
1460
492.8
746
448
332
750
1442.8
2450
1150
600
866
448
348
2300
320
668
788
815
320
580
583
718
620
690
322
358.8
850
668
809.8
420
1015
313
978
1030
748
880
355
378
375
480
1080
539.8
620
848
412
298
2398
700
958
281
602
675
1200
338
580
350
604.8
393
516.8
480
642
2160
418
750
300
372
578
1043
300
298
231.21
1590
364.18
328.5
258.74
340.91
261.65
366.81
323.39
256.2
236.38
327.51
252.8
335.54
169
841.8
785
